Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PARAPETS,Design,Complete,12/29/2022,6/1/2023,6/15/2023,45268,"$45,268.00 ","$37,197.00 ",DSF0001009410
15,K001,P.S. 1 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,6/16/2022,11/16/2022,12/28/2022,101549,"$158,126.00 ","$158,126.00 ","DSF0001034906, DSF0001009409, DSF0001083827"
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PARAPETS,Scope,Complete,6/30/2022,11/16/2022,12/28/2022,11400,"$11,400.00 ","$11,400.00 ",DSF0001009410
15,K001,P.S. 1 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,6/30/2022,11/16/2022,12/28/2022,8233,"$8,233.00 ","$8,233.00 ",DSF0001009411
17,K002,I.S. 2 - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,12/16/2024,DIIR,2/13/2025,DIIR,"$50,000.00 ","$50,000.00 ",DSF0001035359
17,K002,I.S. 2 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/28/2024,DOES,,DOES,"$50,832.00 ",$0.00 ,DSF0001084722
17,K002,I.S. 2 - BROOKLYN,Fast Track Projects,FY24 RESO A ROOM CONVERSION,Construction,PNS,FTK,FTK,FTK,FTK,"$192,968.00 ","$10,390.00 ",DSF0001085933
17,K002,I.S. 2 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,7/14/2021,10/1/2023,,998143,"$1,242,559.00 ","$1,214,733.00 ","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,7/14/2021,10/1/2023,,14153170,"$14,313,409.00 ","$12,740,428.00 ","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2/20/2019,7/22/2019,6/30/2020,660659,"$917,457.00 ","$802,349.00 ","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,K002,I.S. 2 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,10/16/2018,3/6/2019,2/20/2019,133778,"$215,642.00 ","$134,661.00 ","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,K002,K141 SPED - BROOKLYN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,125000,"$125,000.00 ",$0.00 ,DSF0001085935
17,K002,K141 SPED - BROOKLYN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,125000,"$125,000.00 ",$0.00 ,DSF0001085934
13,K003,P.S. 3 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,12/18/2024,11/12/2025,,64794,"$55,694.00 ","$13,696.00 ",DSF0001087360
13,K003,P.S. 3 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS,"CM,F&E",Complete,7/18/2022,4/7/2024,11/4/2024,733250,"$594,261.00 ","$591,250.00 ","DSF0001034160, DSF0001009448, DSF0001009446"
13,K003,P.S. 3 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS,Construction,Complete,7/18/2022,4/7/2024,11/4/2024,11784376,"$10,742,068.00 ","$9,310,427.00 ","DSF0001034160, DSF0001009448, DSF0001009446"
13,K003,P.S. 3 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,12/18/2024,11/12/2025,,182700,"$179,363.00 ","$9,675.00 ",DSF0001087360
13,K003,P.S. 3 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/25/2024,9/18/2024,8/13/2024,14175,"$7,710.00 ","$7,710.00 ",DSF0001087360
13,K003,P.S. 3 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS,Design,Complete,2/25/2022,7/27/2022,5/6/2022,523751,"$214,802.00 ","$214,802.00 ","DSF0001034160, DSF0001009448, DSF0001009446"
13,K003,P.S. 3 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/5/2024,7/3/2024,3/25/2024,3150,"$1,927.00 ","$1,927.00 ",DSF0001087360
13,K003,P.S. 3 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS,Scope,Complete,12/17/2021,5/5/2022,2/25/2022,104750,"$188,505.00 ","$153,900.00 ","DSF0001034160, DSF0001009448, DSF0001009446"
13,K003,P.S. 3 - BROOKLYN,SCA IEH,PO18-1. ABATE ABOUT 30 FT OF ACM PIPE INSULATION ON 2 STEAM AND 1 COLD WATER. 2. ABATE FLOOR FILL 12,Construction,In-Progress,4/22/2025,IEH,,IEH,"$8,811.00 ",$356.00 ,SCA0000074176
15,K004,I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",In-Progress,9/11/2023,9/3/2026,,10668320,"$6,167,626.00 ","$2,174,309.00 ",DSF0000890667
15,K004,I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,In-Progress,9/11/2023,9/3/2026,,75678395,"$68,199,740.00 ","$31,251,911.00 ",DSF0000890667
15,K004,I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,Complete,9/16/2022,4/5/2023,4/28/2023,6000930,"$3,075,504.00 ","$2,286,703.00 ",DSF0000890667
15,K004,I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,6/3/2022,9/15/2022,9/15/2022,1333540,"$913,374.00 ","$913,270.00 ",DSF0000890667
16,K005,P.S. 5 - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,12/12/2024,DIIR,4/9/2025,DIIR,"$100,000.00 ","$100,000.00 ",DSF0001035362
16,K005,P.S. 5 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$75,000.00 ",$0.00 ,DSF0001112511
16,K005,P.S. 5 - BROOKLYN,DOE - RESOA,FY22 RESO A ROOM CONVERSION,Construction,In-Progress,9/19/2023,DOER,,DOER,"$220,310.00 ",$0.00 ,DSF0001034976
16,K005,P.S. 5 - BROOKLYN,DOE - RESOA,FY23 RESO A STEM LAB,Construction,In-Progress,6/2/2023,DOER,,DOER,"$279,578.00 ",$0.00 ,DSF0001035360
16,K005,P.S. 5 - BROOKLYN,DOE - Skilled Trades,DEP GREEN INFRASTRUCTURE,Construction,In-Progress,8/18/2020,DOES,,DOES,"$751,864.00 ",$0.00 ,DSF0000865729
16,K005,P.S. 5 - BROOKLYN,Fast Track Projects,WINDOWS,Construction,In-Progress,8/22/2023,FTK,,FTK,"$19,542,617.00 ","$14,722,840.00 ",DSF0001085193
16,K005,P.S. 5 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",Complete,5/31/2023,4/24/2024,9/24/2024,180882,"$164,022.00 ","$156,747.00 ",DSF0001034618
16,K005,P.S. 5 - BROOKLYN,SCA CIP,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/8/2022,8/6/2024,,1175650,"$1,117,935.00 ","$1,098,504.00 ","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,K005,P.S. 5 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,Complete,5/31/2023,4/24/2024,9/24/2024,289930,"$259,368.00 ","$217,021.00 ",DSF0001034618
16,K005,P.S. 5 - BROOKLYN,SCA CIP,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS,Construction,In-Progress,8/8/2022,8/6/2024,,18894375,"$17,600,591.00 ","$15,049,507.00 ","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,K005,P.S. 5 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,6/21/2022,12/16/2022,12/7/2022,22495,"$30,932.00 ","$30,932.00 ",DSF0001034618
16,K005,P.S. 5 - BROOKLYN,SCA CIP,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS,Design,Complete,12/10/2020,8/31/2021,8/9/2021,839750,"$788,951.00 ","$737,337.00 ","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,K005,P.S. 5 - BROOKLYN,SCA CIP,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS,Scope,Complete,9/17/2020,2/23/2021,12/9/2020,167950,"$194,510.00 ","$180,510.00 ","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,K005,P.S. 5 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,6/14/2022,10/13/2022,6/21/2022,4999,"$7,733.00 ","$7,733.00 ",DSF0001034618
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PA SYSTEM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,"$6,000.00 ",$0.00 ,DSF0001035361
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PA SYSTEM UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,"$88,000.00 ",$0.00 ,DSF0001035361
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PA SYSTEM UPGRADE,Design,PNS,PNS,PNS,PNS,6000,"$6,000.00 ",$0.00 ,DSF0001035361
16,K005,P.S. 5 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PA SYSTEM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001035361
16,K005,P.S. 5 - BROOKLYN,SCA IEH,PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,3/2/2025,IEH,"$16,626.00 ","$7,976.00 ",SCA0000073949
17,K006,P.S. 6 - BROOKLYN,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001112512
17,K006,P.S. 6 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,9/17/2018,DOES,,DOES,"$90,004.00 ",$0.00 ,DSF0000865885
17,K006,P.S. 6 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,74169,"$74,169.00 ",$103.00 ,DSF0001087361
17,K006,P.S. 6 - BROOKLYN,SCA CIP,PARAPETS,"CM,F&E",In-Progress,9/18/2023,3/10/2025,,157850,"$336,500.00 ","$335,939.00 ",DSF0001009491
17,K006,P.S. 6 - BROOKLYN,SCA CIP,PARAPETS,Construction,In-Progress,9/18/2023,3/10/2025,,2532134,"$2,309,230.00 ","$1,789,487.00 ",DSF0001009491
17,K006,P.S. 6 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,289135,"$289,135.00 ",$0.00 ,DSF0001087361
17,K006,P.S. 6 - BROOKLYN,SCA CIP,PARAPETS,Design,Complete,2/1/2023,7/5/2023,5/9/2023,112539,"$186,794.00 ","$182,862.00 ",DSF0001009491
17,K006,P.S. 6 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,3/13/2025,9/8/2025,,20114,"$20,114.00 ","$4,372.00 ",DSF0001087361
17,K006,P.S. 6 - BROOKLYN,SCA CIP,PARAPETS,Scope,Complete,10/12/2022,3/2/2023,1/20/2023,22508,"$78,875.00 ","$71,809.00 ",DSF0001009491
17,K006,P.S. 6 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/12/2025,7/11/2025,3/13/2025,5028,"$1,093.00 ","$1,093.00 ",DSF0001087361
17,K006,P.S. 6 - BROOKLYN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/10/2022,EMER,,EMER,"$39,412.00 ","$12,528.00 ",SCA0000070859
19,K007,P.S. 7 - BROOKLYN,DIIT - RESOA,FY18 RESO A IP SECURITY CAMERAS,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$345,611.00 ",$0.00 ,DSF0000866412
19,K007,K004 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/16/2025,3/11/2026,,33668,"$23,453.00 ","$8,458.00 ",DSF0001087362
19,K007,K004 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/16/2025,3/11/2026,,161472,"$141,400.00 ",$0.00 ,DSF0001087362
19,K007,K004 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/20/2024,9/13/2024,7/16/2024,12528,"$6,380.00 ","$6,380.00 ",DSF0001087362
19,K007,K004 SPED - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/11/2024,5/10/2024,1/11/2024,2784,"$1,595.00 ","$1,595.00 ",DSF0001087362
19,K007,P.S. 7 - BROOKLYN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,466000,"$466,000.00 ","$466,000.00 ",DSF0001085936
13,K008,P.S. 8 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$60,000.00 ",$0.00 ,DSF0001112513
13,K008,P.S. 8 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,7/15/2024,8/18/2025,,60000,"$67,305.00 ","$66,180.00 ",DSF0001035365
13,K008,P.S. 8 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,7/15/2024,8/18/2025,,880000,"$592,821.00 ","$494,200.00 ",DSF0001035365
13,K008,P.S. 8 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,Complete,6/5/2023,10/20/2023,1/10/2024,60000,"$73,518.00 ","$66,451.00 ",DSF0001035365
13,K008,P.S. 8 - BROOKLYN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,2/14/2023,5/15/2023,6/2/2023,0,"$19,756.00 ","$19,756.00 ",DSF0001035365
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/4/2017,DOES,,DOES,"$30,109.00 ",$0.00 ,DSF0000777935
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,3850787,"$3,850,787.00 ","$159,658.00 ","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,12/18/2024,11/12/2025,,94595,"$84,543.00 ","$12,865.00 ",DSF0001087364
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,12/18/2024,11/12/2025,,182700,"$172,150.00 ","$2,460.00 ",DSF0001087364
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE,Construction,PNS,PNS,PNS,PNS,37485527,"$37,485,527.00 ","$62,895.00 ","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE,Design,Complete,12/16/2024,6/17/2025,6/17/2025,2369570,"$585,986.00 ","$508,107.00 ","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/25/2024,9/18/2024,8/13/2024,14175,"$7,925.00 ","$7,925.00 ",DSF0001087364
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/31/2024,5/30/2024,3/25/2024,3150,"$1,981.00 ","$1,981.00 ",DSF0001087364
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE,Scope,Complete,9/23/2024,2/24/2025,11/12/2024,509911,"$186,674.00 ","$158,634.00 ","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA IEH,PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/20/2025,IEH,"$1,251.00 ",$0.00 ,SCA0000073946
15,K010,P.S. 10 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/26/2024,DIIR,2/24/2025,DIIR,"$100,000.00 ","$100,000.00 ",DSF0001033443
15,K010,P.S. 10 - BROOKLYN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,2/7/2022,DOER,,DOER,"$80,055.00 ",$0.00 ,DSF0001008250
15,K010,P.S. 10 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,12/16/2024,11/10/2025,,67458,"$52,633.00 ","$18,669.00 ",DSF0001087365
15,K010,P.S. 10 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,12/16/2024,11/10/2025,,218602,"$201,674.00 ","$97,927.00 ",DSF0001087365
15,K010,P.S. 10 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/22/2024,9/17/2024,7/16/2024,16961,"$2,413.00 ","$2,413.00 ",DSF0001087365
15,K010,P.S. 10 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/12/2024,5/13/2024,3/22/2024,3769,$603.00 ,$603.00 ,DSF0001087365
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,120000,"$120,000.00 ",$629.00 ,DSF0001112515
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113560
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113560
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1760000,"$1,760,000.00 ",$0.00 ,DSF0001112515
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113560
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,120000,"$77,836.00 ","$3,444.00 ",DSF0001112515
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113560
15,K010,P.S. 10 - BROOKLYN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2/24/2025,5/22/2025,,0,"$42,164.00 ",$861.00 ,DSF0001112515
13,K011,P.S. 11 - BROOKLYN,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,In-Progress,7/12/2021,DOER,,DOER,"$1,156,793.00 ",$0.00 ,DSF0001008219
13,K011,P.S. 11 - BROOKLYN,DOE - RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,4/3/2024,DOER,,DOER,"$756,212.00 ",$0.00 ,DSF0001085937
13,K011,P.S. 11 - BROOKLYN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001112514
13,K011,P.S. 11 - BROOKLYN,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$450,000.00 ",$0.00 ,DSF0001112516
13,K011,P.S. 11 - BROOKLYN,DOE - RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/2/2022,DOER,,DOER,"$43,690.00 ",$0.00 ,DSF0000822741
13,K011,P.S. 11 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/9/2021,DOES,,DOES,"$223,492.00 ",$0.00 ,DSF0001008665
13,K011,P.S. 11 - BROOKLYN,SCA IEH,PO18-ABATE AND REMOVE 30 LINIER FEET OF ACM PIPE INSULATION FROM 2' BOILER FEED LINE FOR BOILER NUMB,Construction,Complete,12/13/2024,IEH,1/26/2025,IEH,"$13,868.00 ","$13,868.00 ",SCA0000073709
23,K012,P.S. 12 - BROOKLYN,DOE - RESOA,FY20 RESO A HYDROPONICS LAB,Construction,In-Progress,5/9/2022,DOER,,DOER,"$41,371.00 ",$0.00 ,DSF0000913197
23,K012,I.S. 484 - BROOKLYN,DOE - RESOA,FY20 RESO A ROOM RENOVATION,Construction,In-Progress,6/4/2021,DOER,,DOER,"$89,991.00 ",$0.00 ,DSF0000913198
23,K012,P.S. 12 - BROOKLYN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$215,000.00 ",$0.00 ,DSF0001035368
