"project_geographic_district","project_building_identifier","project_school_name","project_type","project_description","project_phase_name","project_status_name","project_phase_actual_start_date","project_phase_planned_end_date","project_phase_actual_end_date","BAC","EAC","AC","perc_complete","dfs_numbers"
17,"K002","I.S. 2 - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM","Scope","Complete","2018-10-16","2019-03-06","2019-02-20","133778.00","215642.00","134661.00","62.45","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,"K002","I.S. 2 - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM","Design","Complete","2019-02-20","2019-07-22","2020-06-30","660659.00","917457.00","802349.00","87.45","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,"K002","I.S. 2 - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM","CM,F&E","In-Progress","2021-07-14","2023-10-01","","998143.00","1242559.00","1214733.00","97.76","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,"K002","I.S. 2 - BROOKLYN","SCA CIP","ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM","Construction","In-Progress","2021-07-14","2023-10-01","","14153170.00","14313409.00","12740428.00","89.01","DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
17,"K002","I.S. 2 - BROOKLYN","DOE - Skilled Trades","SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION","Construction","In-Progress","2024-06-28","DOES","","DOES","50832.00","0.00","0.00","DSF0001084722"
17,"K002","I.S. 2 - BROOKLYN","DIIT - RESOA","FY23 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2024-12-16","DIIR","2025-02-13","DIIR","50000.00","50000.00","100.00","DSF0001035359"
17,"K002","I.S. 2 - BROOKLYN","Fast Track Projects","FY24 RESO A ROOM CONVERSION","Construction","PNS","FTK","FTK","FTK","FTK","192968.00","10390.00","5.38","DSF0001085933"
17,"K002","K141 SPED - BROOKLYN","SCA Furniture & Equipment","FY24 RESO A MOBILE SCIENCE LABS","F&E","PNS","PNS","PNS","PNS","125000.00","125000.00","0.00","0.00","DSF0001085935"
17,"K002","K141 SPED - BROOKLYN","SCA Furniture & Equipment","FY24 RESO A MOBILE SCIENCE LABS","F&E","PNS","PNS","PNS","PNS","125000.00","125000.00","0.00","0.00","DSF0001085934"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","PARAPETS / EXTERIOR MASONRY / ROOFS","Scope","Complete","2021-12-17","2022-05-05","2022-02-25","104750.00","188505.00","153900.00","81.64","DSF0001034160, DSF0001009448, DSF0001009446"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","PARAPETS / EXTERIOR MASONRY / ROOFS","Design","Complete","2022-02-25","2022-07-27","2022-05-06","523751.00","214802.00","214802.00","100.00","DSF0001034160, DSF0001009448, DSF0001009446"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","PARAPETS / EXTERIOR MASONRY / ROOFS","CM,F&E","Complete","2022-07-18","2024-04-07","2024-11-04","733250.00","594261.00","591250.00","99.49","DSF0001034160, DSF0001009448, DSF0001009446"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","PARAPETS / EXTERIOR MASONRY / ROOFS","Construction","Complete","2022-07-18","2024-04-07","2024-11-04","11784376.00","10742068.00","9310427.00","86.67","DSF0001034160, DSF0001009448, DSF0001009446"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2024-03-05","2024-07-03","2024-03-25","3150.00","1927.00","1927.00","100.00","DSF0001087360"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2024-03-25","2024-09-18","2024-08-13","14175.00","7710.00","7710.00","100.00","DSF0001087360"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2024-12-18","2025-11-12","","64794.00","55694.00","13696.00","24.59","DSF0001087360"
13,"K003","P.S. 3 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2024-12-18","2025-11-12","","182700.00","179363.00","9675.00","5.39","DSF0001087360"
13,"K003","P.S. 3 - BROOKLYN","SCA IEH","PO18-1. ABATE ABOUT 30 FT OF ACM PIPE INSULATION ON 2 STEAM AND 1 COLD WATER. 2. ABATE FLOOR FILL 12","Construction","In-Progress","2025-04-22","IEH","","IEH","8811.00","356.00","4.04","SCA0000074176"
15,"K004","I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN","SCA Capacity","NEW SCHOOL","Scope","Complete","2022-06-03","2022-09-15","2022-09-15","1333540.00","913374.00","913270.00","99.99","DSF0000890667"
15,"K004","I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN","SCA Capacity","NEW SCHOOL","Design","Complete","2022-09-16","2023-04-05","2023-04-28","6000930.00","3075504.00","2286703.00","74.35","DSF0000890667"
15,"K004","I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN","SCA Capacity","NEW SCHOOL","CM,Art,F&E","In-Progress","2023-09-11","2026-09-03","","10668320.00","6167626.00","2174309.00","35.25","DSF0000890667"
15,"K004","I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN","SCA Capacity","NEW SCHOOL","Construction","In-Progress","2023-09-11","2026-09-03","","75678395.00","68199740.00","31251911.00","45.82","DSF0000890667"
16,"K005","P.S. 5 - BROOKLYN","DOE - Skilled Trades","DEP GREEN INFRASTRUCTURE","Construction","In-Progress","2020-08-18","DOES","","DOES","751864.00","0.00","0.00","DSF0000865729"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS","Scope","Complete","2020-09-17","2021-02-23","2020-12-09","167950.00","194510.00","180510.00","92.80","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS","Design","Complete","2020-12-10","2021-08-31","2021-08-09","839750.00","788951.00","737337.00","93.46","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2022-06-14","2022-10-13","2022-06-21","4999.00","7733.00","7733.00","100.00","DSF0001034618"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2022-06-21","2022-12-16","2022-12-07","22495.00","30932.00","30932.00","100.00","DSF0001034618"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS","Construction","In-Progress","2022-08-08","2024-08-06","","18894375.00","17600591.00","15049507.00","85.51","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS","CM,F&E","In-Progress","2022-08-08","2024-08-06","","1175650.00","1117935.00","1098504.00","98.26","DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","Complete","2023-05-31","2024-04-24","2024-09-24","289930.00","259368.00","217021.00","83.67","DSF0001034618"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","Complete","2023-05-31","2024-04-24","2024-09-24","180882.00","164022.00","156747.00","95.56","DSF0001034618"
16,"K005","P.S. 5 - BROOKLYN","DOE - RESOA","FY23 RESO A STEM LAB","Construction","In-Progress","2023-06-02","DOER","","DOER","279578.00","0.00","0.00","DSF0001035360"
16,"K005","P.S. 5 - BROOKLYN","Fast Track Projects","WINDOWS","Construction","In-Progress","2023-08-22","FTK","","FTK","19542617.00","14722840.00","75.34","DSF0001085193"
16,"K005","P.S. 5 - BROOKLYN","DOE - RESOA","FY22 RESO A ROOM CONVERSION","Construction","In-Progress","2023-09-19","DOER","","DOER","220310.00","0.00","0.00","DSF0001034976"
16,"K005","P.S. 5 - BROOKLYN","DIIT - RESOA","FY23 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2024-12-12","DIIR","2025-04-09","DIIR","100000.00","100000.00","100.00","DSF0001035362"
16,"K005","P.S. 5 - BROOKLYN","SCA IEH","PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET","Construction","Complete","2025-02-25","IEH","2025-03-02","IEH","16626.00","7976.00","47.97","SCA0000073949"
16,"K005","P.S. 5 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","75000.00","0.00","0.00","DSF0001112511"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PA SYSTEM UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","6000.00","6000.00","0.00","0.00","DSF0001035361"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PA SYSTEM UPGRADE","Construction","PNS","PNS","PNS","PNS","88000.00","88000.00","0.00","0.00","DSF0001035361"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PA SYSTEM UPGRADE","Design","PNS","PNS","PNS","PNS","6000.00","6000.00","0.00","0.00","DSF0001035361"
16,"K005","P.S. 5 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PA SYSTEM UPGRADE","Scope","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001035361"
17,"K006","P.S. 6 - BROOKLYN","DOE - Skilled Trades","ADA SHELTER COMPLIANCE","Construction","In-Progress","2018-09-17","DOES","","DOES","90004.00","0.00","0.00","DSF0000865885"
17,"K006","P.S. 6 - BROOKLYN","SCA Emergency Response","EMERGENCY STABILIZATION","Construction","In-Progress","2022-02-10","EMER","","EMER","39412.00","12528.00","31.79","SCA0000070859"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","PARAPETS","Scope","Complete","2022-10-12","2023-03-02","2023-01-20","22508.00","78875.00","71809.00","91.04","DSF0001009491"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","PARAPETS","Design","Complete","2023-02-01","2023-07-05","2023-05-09","112539.00","186794.00","182862.00","97.90","DSF0001009491"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","PARAPETS","CM,F&E","In-Progress","2023-09-18","2025-03-10","","157850.00","336500.00","335939.00","99.83","DSF0001009491"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","PARAPETS","Construction","In-Progress","2023-09-18","2025-03-10","","2532134.00","2309230.00","1789487.00","77.49","DSF0001009491"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2025-03-12","2025-07-11","2025-03-13","5028.00","1093.00","1093.00","100.00","DSF0001087361"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","In-Progress","2025-03-13","2025-09-08","","20114.00","20114.00","4372.00","21.74","DSF0001087361"
17,"K006","P.S. 6 - BROOKLYN","DOE - RESOA","FY25 RESO A GYMNASIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","250000.00","0.00","0.00","DSF0001112512"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","PNS","PNS","PNS","PNS","74169.00","74169.00","103.00","0.14","DSF0001087361"
17,"K006","P.S. 6 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","PNS","PNS","PNS","PNS","289135.00","289135.00","0.00","0.00","DSF0001087361"
19,"K007","K004 SPED - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2024-01-11","2024-05-10","2024-01-11","2784.00","1595.00","1595.00","100.00","DSF0001087362"
19,"K007","K004 SPED - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2024-03-20","2024-09-13","2024-07-16","12528.00","6380.00","6380.00","100.00","DSF0001087362"
19,"K007","K004 SPED - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2025-04-16","2026-03-11","","33668.00","23453.00","8458.00","36.06","DSF0001087362"
19,"K007","K004 SPED - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2025-04-16","2026-03-11","","161472.00","141400.00","0.00","0.00","DSF0001087362"
19,"K007","P.S. 7 - BROOKLYN","DIIT - RESOA","FY18 RESO A IP SECURITY CAMERAS","Purch & Install","PNS","PNS","PNS","PNS","DIIR","345611.00","0.00","0.00","DSF0000866412"
19,"K007","P.S. 7 - BROOKLYN","SCA Furniture & Equipment","FY24 RESO A MOBILE SCIENCE LABS","F&E","PNS","PNS","PNS","PNS","466000.00","466000.00","466000.00","100.00","DSF0001085936"
13,"K008","P.S. 8 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","Scope","Complete","2023-02-14","2023-05-15","2023-06-02","0.00","19756.00","19756.00","100.00","DSF0001035365"
13,"K008","P.S. 8 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","Design","Complete","2023-06-05","2023-10-20","2024-01-10","60000.00","73518.00","66451.00","90.39","DSF0001035365"
13,"K008","P.S. 8 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","CM,F&E","In-Progress","2024-07-15","2025-08-18","","60000.00","67305.00","66180.00","98.33","DSF0001035365"
13,"K008","P.S. 8 - BROOKLYN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","Construction","In-Progress","2024-07-15","2025-08-18","","880000.00","592821.00","494200.00","83.36","DSF0001035365"
13,"K008","P.S. 8 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","60000.00","0.00","0.00","DSF0001112513"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","DOE - Skilled Trades","WATER HEATERS","Construction","In-Progress","2017-04-04","DOES","","DOES","30109.00","0.00","0.00","DSF0000777935"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2024-01-31","2024-05-30","2024-03-25","3150.00","1981.00","1981.00","100.00","DSF0001087364"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2024-03-25","2024-09-18","2024-08-13","14175.00","7925.00","7925.00","100.00","DSF0001087364"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE","Scope","Complete","2024-09-23","2025-02-24","2024-11-12","509911.00","186674.00","158634.00","84.98","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE","Design","Complete","2024-12-16","2025-06-17","2025-06-17","2369570.00","585986.00","508107.00","86.71","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2024-12-18","2025-11-12","","94595.00","84543.00","12865.00","15.22","DSF0001087364"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2024-12-18","2025-11-12","","182700.00","172150.00","2460.00","1.43","DSF0001087364"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA IEH","PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET","Construction","Complete","2025-02-25","IEH","2025-06-20","IEH","1251.00","0.00","0.00","SCA0000073946"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","3850787.00","3850787.00","159658.00","4.15","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
13,"K009","PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN","SCA CIP","ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE","Construction","PNS","PNS","PNS","PNS","37485527.00","37485527.00","62895.00","0.17","DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541"
15,"K010","P.S. 10 - BROOKLYN","DOE - RESOA","FY21 RESO A WATER FOUNTAIN UPGRADES","Construction","In-Progress","2022-02-07","DOER","","DOER","80055.00","0.00","0.00","DSF0001008250"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2024-01-12","2024-05-13","2024-03-22","3769.00","603.00","603.00","100.00","DSF0001087365"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2024-03-22","2024-09-17","2024-07-16","16961.00","2413.00","2413.00","100.00","DSF0001087365"
15,"K010","P.S. 10 - BROOKLYN","DIIT - RESOA","FY22 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2024-11-26","DIIR","2025-02-24","DIIR","100000.00","100000.00","100.00","DSF0001033443"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2024-12-16","2025-11-10","","67458.00","52633.00","18669.00","35.47","DSF0001087365"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2024-12-16","2025-11-10","","218602.00","201674.00","97927.00","48.56","DSF0001087365"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","FY25 RESO A PLAYGROUND UPGRADE","Scope","In-Progress","2025-02-24","2025-05-22","","0.00","42164.00","861.00","2.04","DSF0001112515"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","FY25 RESO A PLAYGROUND UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","120000.00","120000.00","629.00","0.52","DSF0001112515"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113560"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Construction","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113560"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","FY25 RESO A PLAYGROUND UPGRADE","Construction","PNS","PNS","PNS","PNS","1760000.00","1760000.00","0.00","0.00","DSF0001112515"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Design","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113560"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","FY25 RESO A PLAYGROUND UPGRADE","Design","PNS","PNS","PNS","PNS","120000.00","77836.00","3444.00","4.42","DSF0001112515"
15,"K010","P.S. 10 - BROOKLYN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Scope","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113560"
13,"K011","P.S. 11 - BROOKLYN","DOE - Skilled Trades","BATHROOM UPGRADES","Construction","In-Progress","2021-07-09","DOES","","DOES","223492.00","0.00","0.00","DSF0001008665"
13,"K011","P.S. 11 - BROOKLYN","DOE - RESOA","FY21 RESO A BATHROOM UPGRADE","Construction","In-Progress","2021-07-12","DOER","","DOER","1156793.00","0.00","0.00","DSF0001008219"
13,"K011","P.S. 11 - BROOKLYN","DOE - RESOA","FY16 RESO A AUDITORIUM UPGRADE","Construction","In-Progress","2022-05-02","DOER","","DOER","43690.00","0.00","0.00","DSF0000822741"
13,"K011","P.S. 11 - BROOKLYN","DOE - RESOA","FY24 RESO A PLAYGROUND UPGRADE","Construction","In-Progress","2024-04-03","DOER","","DOER","756212.00","0.00","0.00","DSF0001085937"
13,"K011","P.S. 11 - BROOKLYN","SCA IEH","PO18-ABATE AND REMOVE 30 LINIER FEET OF ACM PIPE INSULATION FROM 2' BOILER FEED LINE FOR BOILER NUMB","Construction","Complete","2024-12-13","IEH","2025-01-26","IEH","13868.00","13868.00","100.00","SCA0000073709"
13,"K011","P.S. 11 - BROOKLYN","DOE - RESOA","FY25 RESO A ROOM CONVERSION","Construction","PNS","PNS","PNS","PNS","DOER","150000.00","0.00","0.00","DSF0001112514"
13,"K011","P.S. 11 - BROOKLYN","DOE - RESOA","FY25 RESO A GYMNASIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","450000.00","0.00","0.00","DSF0001112516"
23,"K012","I.S. 484 - BROOKLYN","DOE - RESOA","FY20 RESO A ROOM RENOVATION","Construction","In-Progress","2021-06-04","DOER","","DOER","89991.00","0.00","0.00","DSF0000913198"
23,"K012","P.S. 12 - BROOKLYN","DOE - RESOA","FY20 RESO A HYDROPONICS LAB","Construction","In-Progress","2022-05-09","DOER","","DOER","41371.00","0.00","0.00","DSF0000913197"
23,"K012","P.S. 12 - BROOKLYN","SCA CIP","ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING","Scope","Complete","2023-06-07","2023-12-06","2023-10-24","144603.00","257074.00","216922.00","84.38","DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760"
23,"K012","P.S. 12 - BROOKLYN","SCA CIP","WALK-IN REFRIGERATORS AND FREEZERS","Scope","Complete","2023-06-23","2023-10-23","2023-10-24","17818.00","21412.00","21412.00","100.00","DSF0001083797"
23,"K012","P.S. 12 - BROOKLYN","SCA CIP","WALK-IN REFRIGERATORS AND FREEZERS","Design","Complete","2023-10-26","2024-03-26","2024-04-01","80183.00","80253.00","73040.00","91.01","DSF0001083797"
